,A̱o,Ventas_Totales,Ventas_Totales,Ventas_Totales,Ventas_Totales,Ventas_Totales
,,sum,count,mean,min,max
0,1980.0,11.379999999999999,9,1.2644444444444443,0.24,4.31
1,1981.0,35.77,46,0.7776086956521739,0.13,4.5
2,1982.0,28.86,36,0.8016666666666666,0.14,7.81
3,1983.0,16.79,17,0.9876470588235293,0.17,3.2
4,1984.0,50.36,14,3.597142857142857,0.27,28.31
5,1985.0,53.940000000000005,14,3.852857142857143,0.02,40.24
6,1986.0,37.07,21,1.7652380952380953,0.29,6.51
7,1987.0,21.74,16,1.35875,0.07,4.38
8,1988.0,47.22,15,3.148,0.03,17.28
9,1989.0,73.45,17,4.320588235294117,0.06,30.26
10,1990.0,49.39,16,3.086875,0.3,20.61
11,1991.0,32.23,41,0.7860975609756097,0.05,4.61
12,1992.0,76.16,43,1.7711627906976743,0.01,11.18
13,1993.0,45.980000000000004,60,0.7663333333333334,0.01,10.55
14,1994.0,79.17,121,0.654297520661157,0.01,9.3
15,1995.0,88.11,219,0.4023287671232877,0.01,5.15
16,1996.0,199.15,263,0.7572243346007604,0.01,31.37
17,1997.0,200.98,289,0.695432525951557,0.01,10.95
18,1998.0,256.47,379,0.6767018469656992,0.02,14.64
19,1999.0,251.27,338,0.7434023668639054,0.01,23.1
20,2000.0,201.56,349,0.5775358166189112,0.01,6.39
21,2001.0,331.47,482,0.6876970954356847,0.01,14.98
22,2002.0,395.52,829,0.4771049457177322,0.01,16.15
23,2003.0,357.85,775,0.461741935483871,0.01,7.2
24,2004.0,419.31,763,0.5495543905635649,0.01,20.81
25,2005.0,459.94,941,0.4887778958554729,0.01,24.76
26,2006.0,521.04,1008,0.5169047619047619,0.01,82.74
27,2007.0,611.13,1202,0.5084276206322795,0.01,22.72
28,2008.0,678.9,1428,0.47542016806722687,0.01,35.82
29,2009.0,667.3,1431,0.4663172606568833,0.01,33.0
30,2010.0,600.45,1259,0.4769261318506752,0.01,21.82
31,2011.0,515.99,1139,0.45302019315188763,0.01,14.76
32,2012.0,363.54,657,0.5533333333333333,0.01,14.03
33,2013.0,368.11,546,0.6741941391941392,0.01,21.4
34,2014.0,337.05,582,0.5791237113402062,0.01,11.98
35,2015.0,264.44,614,0.4306840390879479,0.01,14.24
36,2016.0,70.92999999999999,344,0.20619186046511626,0.01,4.77
37,2017.0,0.05,3,0.016666666666666666,0.01,0.03
38,2020.0,0.29,1,0.29,0.29,0.29
